pT,W,R,pL,c,pL*c,pQ,R1_array,R2_array,Max_R1_Payoff,Max_R2_Payoff,Max_Payoff,Eq,Number_Eqs,Strategy_Name,Strategy
0.5,8,8,0.9875469388817177,37,36.53923673862356,1,"[[4.0, 4.0], [-30.54, -28.54]]","[[4.0, -30.54], [4.0, -28.54]]",4.0,4.0,4.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,5,5,0.15657081748170332,42,6.575974334231539,1,"[[2.5, 2.5], [-2.83, -1.58]]","[[2.5, -2.83], [2.5, -1.58]]",2.5,2.5,2.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,27,27,0.7139625708380064,36,25.70265255016823,1,"[[13.5, 13.5], [-5.45, 1.3]]","[[13.5, -5.45], [13.5, 1.3]]",13.5,13.5,13.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,26,26,0.3642926792072074,42,15.300292526702712,1,"[[13.0, 13.0], [4.2, 10.7]]","[[13.0, 4.2], [13.0, 10.7]]",13.0,13.0,13.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,64,64,0.3216299222003911,27,8.68400789941056,1,"[[32.0, 32.0], [39.32, 55.32]]","[[32.0, 39.32], [32.0, 55.32]]",55.32,55.32,55.32,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,27,27,0.6193974902362867,6,3.71638494141772,1,"[[13.5, 13.5], [16.53, 23.28]]","[[13.5, 16.53], [13.5, 23.28]]",23.28,23.28,23.28,"[array([-0.,  1.]), array([-0.,  1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,52,52,0.9557249348859941,8,7.645799479087953,1,"[[26.0, 26.0], [31.35, 44.35]]","[[26.0, 31.35], [26.0, 44.35]]",44.35,44.35,44.35,"[array([-0.,  1.]), array([-0.,  1.]), array([ inf, -inf]), array([ inf, -inf])]",2.0,Not_Unique,2
0.5,93,93,0.950071517720993,39,37.05278919111873,1,"[[46.5, 46.5], [32.7, 55.95]]","[[46.5, 32.7], [46.5, 55.95]]",46.5,55.95,55.95,"[array([1., 0.]), array([1., 0.]), array([-0.,  1.]), array([-0.,  1.]), array([0.41, 0.59]), array([0.41, 0.59])]",3.0,Not_Unique,2
0.5,44,44,0.9714140407564475,43,41.77080375252724,1,"[[22.0, 22.0], [-8.77, 2.23]]","[[22.0, -8.77], [22.0, 2.23]]",22.0,22.0,22.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,50,50,0.5839482643797369,34,19.854240988911055,1,"[[25.0, 25.0], [17.65, 30.15]]","[[25.0, 17.65], [25.0, 30.15]]",25.0,30.15,30.15,"[array([1., 0.]), array([1., 0.]), array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.41, 0.59]), array([0.41, 0.59])]",4.0,Not_Unique,2
0.5,82,82,0.025623228915716778,14,0.3587252048200349,1,"[[41.0, 41.0], [61.14, 81.64]]","[[41.0, 61.14], [41.0, 81.64]]",81.64,81.64,81.64,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,29,29,0.66740744086023,12,8.00888929032276,1,"[[14.5, 14.5], [13.74, 20.99]]","[[14.5, 13.74], [14.5, 20.99]]",14.5,20.99,20.99,"[array([0., 1.]), array([0., 1.]), array([0.9, 0.1]), array([0.9, 0.1]), array([1., 0.]), array([1., 0.])]",3.0,Not_Unique,2
0.5,4,4,0.7125497603249775,48,34.202388495598925,1,"[[2.0, 2.0], [-31.2, -30.2]]","[[2.0, -31.2], [2.0, -30.2]]",2.0,2.0,2.0,"[array([1., 0.]), array([1., 0.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,3,3,0.4405828579015595,42,18.504480031865498,1,"[[1.5, 1.5], [-16.25, -15.5]]","[[1.5, -16.25], [1.5, -15.5]]",1.5,1.5,1.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,85,85,0.6291691194244974,20,12.583382388489948,1,"[[42.5, 42.5], [51.17, 72.42]]","[[42.5, 51.17], [42.5, 72.42]]",72.42,72.42,72.42,"[array([0., 1.]), array([0., 1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
0.5,79,79,0.29742172027949676,50,14.871086013974837,1,"[[39.5, 39.5], [44.38, 64.13]]","[[39.5, 44.38], [39.5, 64.13]]",64.13,64.13,64.13,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,45,45,0.1419894596375788,41,5.821567845140731,1,"[[22.5, 22.5], [27.93, 39.18]]","[[22.5, 27.93], [22.5, 39.18]]",39.18,39.18,39.18,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,61,61,0.953813069003517,38,36.244896622133645,1,"[[30.5, 30.5], [9.51, 24.76]]","[[30.5, 9.51], [30.5, 24.76]]",30.5,30.5,30.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,67,67,0.9569383094654671,12,11.483259713585605,1,"[[33.5, 33.5], [38.77, 55.52]]","[[33.5, 38.77], [33.5, 55.52]]",55.52,55.52,55.52,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,24,24,0.5521328927713326,5,2.760664463856663,1,"[[12.0, 12.0], [15.24, 21.24]]","[[12.0, 15.24], [12.0, 21.24]]",21.24,21.24,21.24,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,54,54,0.7177289832508008,43,30.862346279784436,1,"[[27.0, 27.0], [9.64, 23.14]]","[[27.0, 9.64], [27.0, 23.14]]",27.0,27.0,27.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,22,22,0.07696641846810715,19,1.4623619508940358,1,"[[11.0, 11.0], [15.04, 20.54]]","[[11.0, 15.04], [11.0, 20.54]]",20.54,20.54,20.54,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,68,68,0.3329422645394826,45,14.982401904276717,1,"[[34.0, 34.0], [36.02, 53.02]]","[[34.0, 36.02], [34.0, 53.02]]",53.02,53.02,53.02,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,62,62,0.7046741986820181,3,2.114022596046054,1,"[[31.0, 31.0], [44.39, 59.89]]","[[31.0, 44.39], [31.0, 59.89]]",59.89,59.89,59.89,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
