pT,W,R,pL,c,pL*c,pQ,R1_array,R2_array,Max_R1_Payoff,Max_R2_Payoff,Max_Payoff,Eq,Number_Eqs,Strategy_Name,Strategy
0.5,17,12,0.2959478236096126,12,3.551373883315351,1,"[[7.25, 7.25], [7.95, 10.95]]","[[7.25, 7.95], [7.25, 10.95]]",10.95,10.95,10.95,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,62,48,0.2778245098315214,23,6.389963726124992,1,"[[27.5, 27.5], [36.61, 48.61]]","[[27.5, 36.61], [27.5, 48.61]]",48.61,48.61,48.61,"[array([-0.,  1.]), array([-0.,  1.]), array([0.5, 0.5]), array([0.5, 0.5])]",2.0,Not_Unique,2
0.5,42,96,0.36465524660855353,28,10.210346905039499,1,"[[34.5, 34.5], [34.79, 58.79]]","[[34.5, 34.79], [34.5, 58.79]]",58.79,58.79,58.79,"[array([0., 1.]), array([0., 1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
0.5,23,51,0.19220206996059241,21,4.03624346917244,1,"[[18.5, 18.5], [20.21, 32.96]]","[[18.5, 20.21], [18.5, 32.96]]",32.96,32.96,32.96,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,32,89,0.20889464228247467,29,6.057944626191766,1,"[[30.25, 30.25], [32.19, 54.44]]","[[30.25, 32.19], [30.25, 54.44]]",54.44,54.44,54.44,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,15,75,0.44097769447511515,39,17.19813008452949,1,"[[22.5, 22.5], [9.05, 27.8]]","[[22.5, 9.05], [22.5, 27.8]]",22.5,27.8,27.8,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.28, 0.72]), array([0.28, 0.72])]",3.0,Not_Unique,2
0.5,79,84,0.0848092606677957,44,3.731607469383011,1,"[[40.75, 40.75], [56.77, 77.77]]","[[40.75, 56.77], [40.75, 77.77]]",77.77,77.77,77.77,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,38,30,0.1317398698095853,41,5.401334662192998,1,"[[17.0, 17.0], [21.1, 28.6]]","[[17.0, 21.1], [17.0, 28.6]]",28.6,28.6,28.6,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,6,93,0.12119604645380821,36,4.363057672337096,1,"[[24.75, 24.75], [21.89, 45.14]]","[[24.75, 21.89], [24.75, 45.14]]",24.75,45.14,45.14,"[array([0., 1.]), array([0., 1.]), array([0.88, 0.12]), array([0.88, 0.12]), array([1., 0.]), array([1., 0.])]",3.0,Not_Unique,2
0.5,32,44,0.25240412624090347,48,12.115398059563367,1,"[[19.0, 19.0], [14.88, 25.88]]","[[19.0, 14.88], [19.0, 25.88]]",19.0,25.88,25.88,"[array([1., 0.]), array([1., 0.]), array([-0.,  1.]), array([-0.,  1.]), array([0.63, 0.37]), array([0.63, 0.37])]",3.0,Not_Unique,2
0.5,39,54,0.18451767876156455,25,4.612941969039114,1,"[[23.25, 23.25], [28.39, 41.89]]","[[23.25, 28.39], [23.25, 41.89]]",41.89,41.89,41.89,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,42,22,0.46168071716934744,1,0.46168071716934744,1,"[[16.0, 16.0], [26.04, 31.54]]","[[16.0, 26.04], [16.0, 31.54]]",31.54,31.54,31.54,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,38,64,0.5623515736577035,26,14.621140915100291,1,"[[25.5, 25.5], [20.38, 36.38]]","[[25.5, 20.38], [25.5, 36.38]]",25.5,36.38,36.38,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.68, 0.32]), array([0.68, 0.32])]",3.0,Not_Unique,2
0.5,88,46,0.3055653450564194,31,9.472525696749003,1,"[[33.5, 33.5], [46.03, 57.53]]","[[33.5, 46.03], [33.5, 57.53]]",57.53,57.53,57.53,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,52,28,0.35604377089465855,26,9.257138043261122,1,"[[20.0, 20.0], [23.74, 30.74]]","[[20.0, 23.74], [20.0, 30.74]]",30.74,30.74,30.74,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,90,48,0.4104513550969109,39,16.007602848779523,1,"[[34.5, 34.5], [40.99, 52.99]]","[[34.5, 40.99], [34.5, 52.99]]",52.99,52.99,52.99,"[array([0., 1.]), array([0., 1.]), array([0.5, 0.5]), array([0.5, 0.5])]",2.0,Not_Unique,2
0.5,76,86,0.2046559250730965,14,2.8651829510233506,1,"[[40.5, 40.5], [56.63, 78.13]]","[[40.5, 56.63], [40.5, 78.13]]",78.13,78.13,78.13,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,71,100,0.2762534726314184,40,11.050138905256738,1,"[[42.75, 42.75], [49.45, 74.45]]","[[42.75, 49.45], [42.75, 74.45]]",74.45,74.45,74.45,"[array([0., 1.]), array([0., 1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
